,ENSG00000123096,ENSG00000131095,ENSG00000048649,ENSG00000078549,ENSG00000206172,ENSG00000244734,ENSG00000121966,ENSG00000155980,ENSG00000127914,ENSG00000170275,ENSG00000188536,ENSG00000038427,ENSG00000078114,ENSG00000104324,ENSG00000157833,ENSG00000146005,ENSG00000225465,ENSG00000117592,ENSG00000168280,ENSG00000120063,ENSG00000124749,ENSG00000152661,ENSG00000089169,ENSG00000111328,ENSG00000141279,ENSG00000152990,ENSG00000092820,ENSG00000152518,ENSG00000104361,ENSG00000147027,ENSG00000196739,ENSG00000087263,ENSG00000185650,ENSG00000119729,ENSG00000108932,ENSG00000107562,ENSG00000124942
BM_22_267,4.085669429,12.11231409,7.476057891,8.000397455,0.566124833,6.133185741,2.590855435,10.65241249,8.357276917,5.964748386,1.599275028,8.261413073,8.935536068,4.606607032,4.434872469,6.554978813,6.618135642,6.811166575,10.10247223,6.871857319,4.749044061,8.985369962,6.369371298,4.831393422,7.189898164,6.169548656,7.002001034,4.789434752,5.667621932,7.066772981,2.140385749,5.355676818,5.618316533,5.932131976,2.663695854,2.596613914,10.13026178
BM_22_123,2.928182914,12.43067028,7.473282796,7.609127018,0.199309943,6.003019183,1.53455237,10.65290904,8.493459182,5.409086219,2.223603646,7.759030216,8.841837232,4.578904607,4.02251851,6.451309935,6.46373679,6.648727616,10.07981068,6.77038904,4.099398646,8.443646158,6.589357315,4.639881061,7.530171717,5.974801651,6.281557795,4.301313866,6.002563063,6.639563885,4.584507523,5.278461364,5.692371866,5.857316076,2.331772591,2.187761887,9.034994787
BM_22_258,3.913957351,12.46137188,7.468641223,7.856024144,1.164552287,7.176630694,1.635859255,10.48566644,8.433657882,5.807626004,3.049706586,8.032648488,9.067924873,4.552299346,4.47991663,6.689276411,6.253501811,6.564238118,10.02215383,7.034993318,4.341468664,8.880020929,7.053254248,5.185847844,7.349847883,6.042735621,6.8005396,4.303319011,6.420277464,6.837837997,3.246383106,5.237527761,5.743786549,6.064219229,3.228100857,1.753567837,9.498558624
hB_RNA_9175,3.748436247,11.40583972,7.523606832,7.487744762,1.003066549,6.866850693,2.210499887,10.34234592,8.327870045,5.581501096,2.481979057,7.770262108,8.590917601,4.488735326,4.14076147,5.973246848,6.709764036,6.497950551,10.190507,6.596501047,4.575726332,8.446475665,6.894678305,4.579534994,7.299402964,5.719940745,6.294825386,4.216903097,5.971772786,6.700024047,2.351668122,5.453561122,5.286429362,5.584807681,2.186048693,2.737326173,9.117513937
hB_RNA_7905,3.88191262,13.53391552,7.44963105,8.150670164,0.839860941,6.309914158,1.941893284,10.73366405,8.360136973,5.759431916,0.938302543,8.355813831,8.863239063,4.801375808,5.192608176,7.498636951,5.609096058,6.832374415,9.846252154,6.933197904,4.141816763,8.846448389,7.078135717,5.042721702,6.875538616,6.532042678,7.066157108,4.767317882,5.329255601,6.696091916,3.914278601,5.116028888,6.069185829,5.862273628,2.146290189,2.656483561,9.823076513
hB_RNA_8295,3.479979722,12.6822473,7.561578002,7.664445412,0.260885741,5.070090943,2.767071203,10.90671126,8.522472397,5.423138406,1.837342355,7.89706463,8.793285966,5.160119117,4.922393273,6.838201028,5.962875634,6.473421264,10.0620098,6.750437198,4.508146693,8.905179601,7.030738271,4.809567149,7.280529874,5.882713596,6.817794396,4.957990644,5.922169429,6.606812551,4.524391047,5.167536517,6.366963717,5.764541295,2.063309356,2.084054799,10.04183603
hB_RNA_9176,3.267124322,11.78761485,7.387393853,7.676656401,1.717005187,8.000333275,1.967501086,10.62304578,8.359925241,5.24001486,3.243712077,7.605990324,8.682140622,4.539846232,3.416850659,6.295831631,6.608132946,7.129992804,10.08361401,6.624710178,3.914566546,8.633401208,7.357524616,4.686645248,7.342822414,5.71980295,6.415354634,3.935446617,6.114202352,6.822492278,2.90871676,5.376544755,5.148718087,5.432667596,3.432197325,3.089614129,9.573495037
hB_RNA_9177,2.148647199,11.78751413,7.197324474,7.477192371,0.083807424,5.056743594,3.918585604,10.33313888,8.289124689,5.330302624,0.757361453,7.507812523,8.278284886,4.87339068,5.024927526,6.268693784,6.050070771,5.797319899,9.911551045,6.413535567,4.270413568,7.593941549,6.611236218,5.000983311,7.18191097,5.390402781,6.351392328,4.422970645,6.097338603,6.025253852,4.32672299,4.99882709,5.525615142,5.706393471,2.295723042,2.234792656,8.934799849
BM_22_272,3.170281798,12.66749552,7.658052181,7.946209956,1.782588665,7.839470172,2.598280281,10.681316,8.647066922,5.797339489,4.101777911,7.527748989,8.992011669,4.683020672,4.994523118,6.789147089,6.259185407,7.004331593,10.09441365,6.797477483,4.505532434,8.900433968,6.56630022,5.192571649,7.527427552,5.971206983,7.224926496,3.879646653,5.562467508,6.833158462,3.879384235,5.341444743,5.066587472,6.019942256,1.852201889,2.350990559,9.273577486
hB_RNA_9178,3.367414746,12.20195036,7.266602109,7.725883516,1.545687314,7.760114524,3.265289547,10.61803789,8.330411321,5.765221172,3.520815087,7.963591308,8.65922178,5.040524547,5.449356872,7.09214576,5.826273923,6.41887266,10.05050424,6.619360158,4.794073649,8.619801715,6.688034107,4.952503261,7.177291998,5.855119135,7.109094394,4.46889043,5.779843217,6.412119136,4.81204531,5.02940989,5.553480564,5.647672118,1.191292108,1.950638486,9.820173175
